Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1961","1961","tonnes","27454167.42","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1962","1962","tonnes","28621697.42","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1963","1963","tonnes","30085015.8","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1964","1964","tonnes","31022543.37","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1965","1965","tonnes","32873624.39","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1966","1966","tonnes","33869323.73","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1967","1967","tonnes","35326377.46","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1968","1968","tonnes","37240332.49","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1969","1969","tonnes","37637299.09","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1970","1970","tonnes","39491897.03","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1971","1971","tonnes","40654082.47","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1972","1972","tonnes","43146913.47","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1973","1973","tonnes","44652109.09","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1974","1974","tonnes","46265870.22","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1975","1975","tonnes","46830043.56","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1976","1976","tonnes","47874489.48","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1977","1977","tonnes","47870978.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1978","1978","tonnes","48966046.48","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1979","1979","tonnes","49169659.71","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1980","1980","tonnes","50346079.63","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1981","1981","tonnes","52835539.37","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1982","1982","tonnes","53781847.75","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1983","1983","tonnes","54925588.96","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1984","1984","tonnes","57838047.69","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1985","1985","tonnes","60128030.86","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1986","1986","tonnes","63199706.01","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1987","1987","tonnes","66519741.33","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1988","1988","tonnes","67825172.84","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1989","1989","tonnes","70313536.18","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1990","1990","tonnes","70979347.91","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1991","1991","tonnes","69420942.07","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1992","1992","tonnes","70023094.39","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1993","1993","tonnes","73530000.3","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1994","1994","tonnes","78277062.62","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1995","1995","tonnes","84995336.13","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1996","1996","tonnes","88610502.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1997","1997","tonnes","89956272.97","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1998","1998","tonnes","91552480.97","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","1999","1999","tonnes","93550579.96","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","2000","2000","tonnes","95674388.85","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","2001","2001","tonnes","98374050.86","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","2002","2002","tonnes","99946977.58","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","2003","2003","tonnes","102395120.89","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","2004","2004","tonnes","106093607.29","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","2005","2005","tonnes","108625122.57","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","2006","2006","tonnes","112885541.16","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","2007","2007","tonnes","117343114.34","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","2008","2008","tonnes","120439696.54","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","2009","2009","tonnes","123540781.57","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","2010","2010","tonnes","127078656.96","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","2011","2011","tonnes","129637295.11","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","2012","2012","tonnes","133001263.13","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","5000","World","641","Food supply quantity (tonnes)","2960","Fish, Seafood","2013","2013","tonnes","132828714.38","A","Aggregate, may include official, semi-official, estimated or calculated data"
